row_id,image_id,width,height,bbox,class_id,confidence
test_pen1_tur_cam1_20250920_174649_0001,pen1_tur_cam1_20250920_174649.jpg,1280,720,"[237.0,254.0,246.0,402.0]",1,0.9297
test_pen1_tur_cam1_20250920_174649_0004,pen1_tur_cam1_20250920_174649.jpg,1280,720,"[342.5,2.0,356.0,157.0]",0,0.9385
test_pen1_tur_cam1_20250921_050022_0000,pen1_tur_cam1_20250921_050022.jpg,1280,720,"[431.0,477.0,391.0,201.0]",0,0.9375
test_pen1_tur_cam1_20250921_050022_0004,pen1_tur_cam1_20250921_050022.jpg,1280,720,"[550.0,180.5,375.0,225.0]",0,0.94
test_pen1_tur_cam1_20250921_050022_0006,pen1_tur_cam1_20250921_050022.jpg,1280,720,"[474.0,20.0,298.0,171.0]",0,0.9355
test_pen1_tur_cam1_20250921_052427_0000,pen1_tur_cam1_20250921_052427.jpg,1280,720,"[328.5,49.5,354.0,364.0]",1,0.934
test_pen1_tur_cam1_20250921_052427_0002,pen1_tur_cam1_20250921_052427.jpg,1280,720,"[313.5,467.0,421.0,210.0]",1,0.935
test_pen1_tur_cam1_20250921_054934_0000,pen1_tur_cam1_20250921_054934.jpg,1280,720,"[317.5,56.5,356.0,338.0]",1,0.932
test_pen1_tur_cam1_20250921_054934_0001,pen1_tur_cam1_20250921_054934.jpg,1280,720,"[522.5,485.0,394.0,190.0]",1,0.9307
test_pen1_tur_cam1_20250921_055537_0005,pen1_tur_cam1_20250921_055537.jpg,1280,720,"[803.0,166.5,203.0,134.0]",3,0.819
test_pen1_tur_cam1_20250921_062444_0002,pen1_tur_cam1_20250921_062444.jpg,1280,720,"[328.5,0.0,313.0,132.0]",2,0.893
test_pen1_tur_cam1_20250921_063047_0000,pen1_tur_cam1_20250921_063047.jpg,1280,720,"[361.0,0.0,251.0,278.0]",3,0.8184
test_pen1_tur_cam1_20250921_063047_0004,pen1_tur_cam1_20250921_063047.jpg,1280,720,"[545.5,40.0,301.0,192.0]",1,0.933
test_pen1_tur_cam1_20250921_070255_0001,pen1_tur_cam1_20250921_070255.jpg,1280,720,"[492.0,466.5,383.0,205.0]",1,0.935
test_pen1_tur_cam1_20250921_071258_0001,pen1_tur_cam1_20250921_071258.jpg,1280,720,"[573.5,258.0,188.0,428.0]",3,0.8203
test_pen1_tur_cam1_20250921_071258_0002,pen1_tur_cam1_20250921_071258.jpg,1280,720,"[265.5,0.0,220.0,337.0]",3,0.8184
test_pen1_tur_cam1_20250921_071759_0000,pen1_tur_cam1_20250921_071759.jpg,1280,720,"[282.0,1.0,307.0,231.0]",3,0.8223
test_pen1_tur_cam1_20250921_071959_0001,pen1_tur_cam1_20250921_071959.jpg,1280,720,"[264.0,213.0,214.0,442.0]",2,0.9946
test_pen1_tur_cam1_20250921_072101_0000,pen1_tur_cam1_20250921_072101.jpg,1280,720,"[227.0,238.0,356.0,410.0]",3,0.8193
test_pen1_tur_cam1_20250921_072101_0003,pen1_tur_cam1_20250921_072101.jpg,1280,720,"[950.5,167.0,141.0,225.0]",3,0.8228
test_pen1_tur_cam1_20250921_072301_0001,pen1_tur_cam1_20250921_072301.jpg,1280,720,"[287.0,490.5,456.0,188.0]",4,0.8413
test_pen1_tur_cam1_20250921_072501_0006,pen1_tur_cam1_20250921_072501.jpg,1280,720,"[849.5,147.5,209.0,227.0]",3,0.8228
test_pen1_tur_cam1_20250921_072501_0007,pen1_tur_cam1_20250921_072501.jpg,1280,720,"[1003.5,217.5,121.0,219.0]",3,0.8184
test_pen1_tur_cam1_20250921_073002_0003,pen1_tur_cam1_20250921_073002.jpg,1280,720,"[821.5,158.5,140.0,242.0]",3,0.818
test_pen1_tur_cam1_20250921_073002_0006,pen1_tur_cam1_20250921_073002.jpg,1280,720,"[919.0,163.0,187.0,204.0]",3,0.818
test_pen1_tur_cam1_20250921_073303_0001,pen1_tur_cam1_20250921_073303.jpg,1280,720,"[567.5,189.0,294.0,380.0]",3,0.8184
test_pen1_tur_cam1_20250921_073303_0005,pen1_tur_cam1_20250921_073303.jpg,1280,720,"[927.0,164.5,148.0,242.0]",3,0.82
test_pen1_tur_cam1_20250921_073303_0006,pen1_tur_cam1_20250921_073303.jpg,1280,720,"[340.5,454.5,417.0,225.0]",1,0.933
test_pen1_tur_cam1_20250921_074124_0001,pen1_tur_cam1_20250921_074124.jpg,1280,720,"[581.0,104.0,175.0,345.0]",3,0.818
test_pen1_tur_cam1_20250921_074124_0002,pen1_tur_cam1_20250921_074124.jpg,1280,720,"[380.5,449.5,418.0,229.0]",1,0.9355
test_pen1_tur_cam1_20250921_075035_0007,pen1_tur_cam1_20250921_075035.jpg,1280,720,"[983.5,185.0,114.0,104.0]",4,0.8467
test_pen1_tur_cam1_20250921_075546_0000,pen1_tur_cam1_20250921_075546.jpg,1280,720,"[753.0,81.5,188.0,317.0]",3,0.8184
test_pen1_tur_cam1_20250921_075546_0001,pen1_tur_cam1_20250921_075546.jpg,1280,720,"[272.5,33.0,292.0,370.0]",2,0.987
test_pen1_tur_cam1_20250921_075546_0003,pen1_tur_cam1_20250921_075546.jpg,1280,720,"[366.0,432.5,424.0,244.0]",1,0.9307
test_pen1_tur_cam1_20250921_075546_0006,pen1_tur_cam1_20250921_075546.jpg,1280,720,"[891.0,149.0,159.0,266.0]",3,0.8193
test_pen1_tur_cam1_20250921_082253_0000,pen1_tur_cam1_20250921_082253.jpg,1280,720,"[271.5,272.2,405.0,296.0]",1,0.934
test_pen1_tur_cam1_20250921_082253_0001,pen1_tur_cam1_20250921_082253.jpg,1280,720,"[757.0,473.0,259.0,185.0]",0,0.9395
test_pen1_tur_cam1_20250921_082253_0007,pen1_tur_cam1_20250921_082253.jpg,1280,720,"[1019.0,484.5,136.0,122.0]",0,0.9355
test_pen1_tur_cam1_20250921_082453_0000,pen1_tur_cam1_20250921_082453.jpg,1280,720,"[753.0,478.5,266.0,182.0]",0,0.9375
test_pen1_tur_cam1_20250921_082453_0008,pen1_tur_cam1_20250921_082453.jpg,1280,720,"[947.0,168.5,154.0,207.0]",3,0.8223
test_pen1_tur_cam1_20250921_082653_0005,pen1_tur_cam1_20250921_082653.jpg,1280,720,"[811.5,183.0,197.0,159.0]",3,0.82
test_pen1_tur_cam1_20250921_082804_0000,pen1_tur_cam1_20250921_082804.jpg,1280,720,"[814.0,326.5,193.0,338.0]",3,0.8184
test_pen1_tur_cam1_20250921_083204_0003,pen1_tur_cam1_20250921_083204.jpg,1280,720,"[819.5,149.5,166.0,257.0]",3,0.8184
test_pen1_tur_cam1_20250921_083204_0007,pen1_tur_cam1_20250921_083204.jpg,1280,720,"[947.5,171.5,159.0,192.0]",3,0.8203
test_pen1_tur_cam1_20250921_083715_0002,pen1_tur_cam1_20250921_083715.jpg,1280,720,"[432.5,264.5,261.0,238.0]",2,0.991
test_pen1_tur_cam1_20250921_083715_0005,pen1_tur_cam1_20250921_083715.jpg,1280,720,"[806.0,511.5,248.0,139.0]",4,0.8467
test_pen1_tur_cam1_20250921_083826_0001,pen1_tur_cam1_20250921_083826.jpg,1280,720,"[631.5,16.0,267.0,243.0]",3,0.8193
test_pen1_tur_cam1_20250921_083826_0002,pen1_tur_cam1_20250921_083826.jpg,1280,720,"[456.5,287.5,255.0,308.0]",2,0.987
