row_id,image_id,width,height,bbox,class_id,confidence
test_pen1_tur_cam1_20250920_174649_0004,pen1_tur_cam1_20250920_174649.jpg,1280,720,"[342.5,2.0,356.0,157.0]",0,0.9487
test_pen1_tur_cam1_20250921_050022_0002,pen1_tur_cam1_20250921_050022.jpg,1280,720,"[329.5,8.0,261.0,339.0]",1,0.9473
test_pen1_tur_cam1_20250921_050022_0004,pen1_tur_cam1_20250921_050022.jpg,1280,720,"[550.0,180.5,375.0,225.0]",0,0.948
test_pen1_tur_cam1_20250921_052427_0000,pen1_tur_cam1_20250921_052427.jpg,1280,720,"[328.5,49.5,354.0,364.0]",1,0.9478
test_pen1_tur_cam1_20250921_052427_0006,pen1_tur_cam1_20250921_052427.jpg,1280,720,"[348.5,0.0,329.0,205.0]",1,0.947
test_pen1_tur_cam1_20250921_054433_0003,pen1_tur_cam1_20250921_054433.jpg,1280,720,"[328.0,61.5,365.0,343.0]",1,0.947
test_pen1_tur_cam1_20250921_054433_0004,pen1_tur_cam1_20250921_054433.jpg,1280,720,"[349.5,0.0,335.0,220.0]",1,0.947
test_pen1_tur_cam1_20250921_054934_0000,pen1_tur_cam1_20250921_054934.jpg,1280,720,"[317.5,56.5,356.0,338.0]",1,0.9473
test_pen1_tur_cam1_20250921_054934_0003,pen1_tur_cam1_20250921_054934.jpg,1280,720,"[346.5,0.0,329.0,174.0]",1,0.9463
test_pen1_tur_cam1_20250921_055235_0002,pen1_tur_cam1_20250921_055235.jpg,1280,720,"[319.5,54.0,359.0,338.0]",1,0.9478
test_pen1_tur_cam1_20250921_055435_0001,pen1_tur_cam1_20250921_055435.jpg,1280,720,"[319.0,53.0,374.0,256.0]",1,0.9478
test_pen1_tur_cam1_20250921_055537_0000,pen1_tur_cam1_20250921_055537.jpg,1280,720,"[372.5,376.5,408.0,285.0]",4,0.8857
test_pen1_tur_cam1_20250921_055537_0002,pen1_tur_cam1_20250921_055537.jpg,1280,720,"[336.5,4.0,334.0,177.0]",1,0.9463
test_pen1_tur_cam1_20250921_070957_0002,pen1_tur_cam1_20250921_070957.jpg,1280,720,"[389.0,189.5,401.0,235.0]",3,0.844
test_pen1_tur_cam1_20250921_071058_0004,pen1_tur_cam1_20250921_071058.jpg,1280,720,"[845.5,158.5,218.0,222.0]",3,0.846
