row_id,image_id,width,height,bbox,class_id,confidence
test_pen1_tur_cam1_20250921_071959_0001,pen1_tur_cam1_20250921_071959.jpg,1280,720,"[264.0,213.0,214.0,442.0]",2,0.987
test_pen1_tur_cam1_20250921_075546_0001,pen1_tur_cam1_20250921_075546.jpg,1280,720,"[272.5,33.0,292.0,370.0]",2,0.988
test_pen1_tur_cam1_20250921_083715_0002,pen1_tur_cam1_20250921_083715.jpg,1280,720,"[432.5,264.5,261.0,238.0]",2,0.9873
test_pen1_tur_cam1_20250921_083826_0002,pen1_tur_cam1_20250921_083826.jpg,1280,720,"[456.5,287.5,255.0,308.0]",2,0.969
test_pen1_tur_cam1_20250921_083826_0006,pen1_tur_cam1_20250921_083826.jpg,1280,720,"[1085.0,406.5,86.0,180.0]",2,0.9883
test_pen1_tur_cam1_20250921_091134_0000,pen1_tur_cam1_20250921_091134.jpg,1280,720,"[255.2,224.0,306.0,324.0]",2,0.987
test_pen1_tur_cam1_20250921_092354_0000,pen1_tur_cam1_20250921_092354.jpg,1280,720,"[246.5,178.0,209.0,387.0]",2,0.9624
test_pen1_tur_cam1_20250922_124932_0000,pen1_tur_cam1_20250922_124932.jpg,1280,720,"[244.8,403.7,395.0,261.0]",2,0.99
test_pen1_tur_cam1_20250922_125034_0000,pen1_tur_cam1_20250922_125034.jpg,1280,720,"[735.5,380.0,208.0,298.0]",2,0.9927
test_pen1_tur_cam1_20250922_130037_0004,pen1_tur_cam1_20250922_130037.jpg,1280,720,"[510.5,460.5,411.0,218.0]",2,0.9873
test_pen1_tur_cam1_20250922_132744_0004,pen1_tur_cam1_20250922_132744.jpg,1280,720,"[842.0,432.0,187.0,175.0]",2,0.992
test_pen1_tur_cam1_20250922_132744_0008,pen1_tur_cam1_20250922_132744.jpg,1280,720,"[1074.0,495.0,90.0,96.0]",2,0.956
test_pen1_tur_cam1_20250922_142458_0001,pen1_tur_cam1_20250922_142458.jpg,1280,720,"[506.0,487.0,407.0,201.0]",2,0.9775
test_pen1_tur_cam1_20250922_143101_0003,pen1_tur_cam1_20250922_143101.jpg,1280,720,"[572.5,165.5,294.0,199.0]",2,0.9907
test_pen1_tur_cam1_20250922_145004_0004,pen1_tur_cam1_20250922_145004.jpg,1280,720,"[750.0,429.5,278.0,179.0]",2,0.978
test_pen1_tur_cam1_20250923_063534_0002,pen1_tur_cam1_20250923_063534.jpg,1280,720,"[279.0,165.5,286.0,340.0]",2,0.9893
test_pen1_tur_cam1_20250923_075253_0004,pen1_tur_cam1_20250923_075253.jpg,1280,720,"[284.8,90.2,290.0,378.0]",2,0.9917
