row_id,image_id,width,height,bbox,class_id,confidence
test_pen1_tur_cam1_20250920_174649_0004,pen1_tur_cam1_20250920_174649.jpg,1280,720,"[342.5,2.0,356.0,157.0]",0,0.856
test_pen1_tur_cam1_20250921_050022_0000,pen1_tur_cam1_20250921_050022.jpg,1280,720,"[431.0,477.0,391.0,201.0]",0,0.8257
test_pen1_tur_cam1_20250921_054433_0004,pen1_tur_cam1_20250921_054433.jpg,1280,720,"[349.5,0.0,335.0,220.0]",1,0.843
test_pen1_tur_cam1_20250921_054934_0000,pen1_tur_cam1_20250921_054934.jpg,1280,720,"[317.5,56.5,356.0,338.0]",1,0.829
test_pen1_tur_cam1_20250921_054934_0003,pen1_tur_cam1_20250921_054934.jpg,1280,720,"[346.5,0.0,329.0,174.0]",1,0.838
test_pen1_tur_cam1_20250921_055537_0002,pen1_tur_cam1_20250921_055537.jpg,1280,720,"[336.5,4.0,334.0,177.0]",1,0.8228
test_pen1_tur_cam1_20250921_062945_0006,pen1_tur_cam1_20250921_062945.jpg,1280,720,"[1046.5,483.0,100.0,127.0]",0,0.8076
test_pen1_tur_cam1_20250921_063047_0006,pen1_tur_cam1_20250921_063047.jpg,1280,720,"[1047.4,483.5,98.0,124.0]",0,0.8115
test_pen1_tur_cam1_20250921_063047_0007,pen1_tur_cam1_20250921_063047.jpg,1280,720,"[993.0,217.0,154.0,141.0]",3,0.7793
test_pen1_tur_cam1_20250921_070957_0006,pen1_tur_cam1_20250921_070957.jpg,1280,720,"[1098.0,227.0,95.0,198.0]",3,0.777
test_pen1_tur_cam1_20250921_071058_0006,pen1_tur_cam1_20250921_071058.jpg,1280,720,"[1060.5,248.0,124.0,161.0]",3,0.7817
test_pen1_tur_cam1_20250921_071058_0007,pen1_tur_cam1_20250921_071058.jpg,1280,720,"[1097.5,391.5,97.0,194.0]",3,0.7744
test_pen1_tur_cam1_20250921_071959_0001,pen1_tur_cam1_20250921_071959.jpg,1280,720,"[264.0,213.0,214.0,442.0]",2,0.9087
test_pen1_tur_cam1_20250921_073303_0006,pen1_tur_cam1_20250921_073303.jpg,1280,720,"[340.5,454.5,417.0,225.0]",1,0.8286
test_pen1_tur_cam1_20250921_075035_0004,pen1_tur_cam1_20250921_075035.jpg,1280,720,"[1016.5,455.5,128.0,146.0]",1,0.831
test_pen1_tur_cam1_20250921_075035_0007,pen1_tur_cam1_20250921_075035.jpg,1280,720,"[983.5,185.0,114.0,104.0]",4,0.7896
