timestamp,fold,epoch,phase,lr,train_loss,train_f1,val_loss,val_f1,val_source,improved,epoch_secs
2026-05-05 09:46:53,1,1,warmup,1.00e-06,1.3247,0.4241,1.2715,0.3847,model,1,1039
2026-05-05 10:04:00,1,2,warmup,3.40e-05,0.8867,0.6734,0.8705,0.7244,model,1,1026
2026-05-05 10:21:05,1,3,warmup,6.70e-05,0.7854,0.7304,0.9648,0.7004,ema,0,1023
2026-05-05 10:38:14,1,4,cosine,1.00e-04,0.7201,0.7618,0.8697,0.7508,ema,1,1028
2026-05-05 10:55:16,1,5,cosine,9.97e-05,0.6885,0.7716,0.8537,0.7854,ema,1,1020
2026-05-05 11:12:18,1,6,cosine,9.87e-05,0.6703,0.7846,0.8472,0.7796,ema,0,1020
2026-05-05 11:29:20,1,7,cosine,9.70e-05,0.6508,0.7994,0.8503,0.7796,ema,0,1022
2026-05-05 11:46:20,1,8,cosine,9.47e-05,0.6437,0.7962,0.8542,0.8066,model,1,1019
2026-05-05 12:03:21,1,9,cosine,9.18e-05,0.6370,0.7917,0.8226,0.8160,model,1,1019
2026-05-05 12:20:25,1,10,cosine,8.83e-05,0.6268,0.7908,0.8653,0.7916,ema,0,1022
2026-05-05 12:37:27,1,11,cosine,8.43e-05,0.6068,0.8063,0.8640,0.7916,ema,0,1022
2026-05-05 12:54:27,1,12,cosine,7.99e-05,0.5993,0.8095,0.7882,0.8251,model,1,1019
2026-05-05 13:11:27,1,13,cosine,7.50e-05,0.5801,0.8185,0.8517,0.8312,model,1,1017
2026-05-05 13:28:27,1,14,cosine,6.98e-05,0.5747,0.8114,0.8516,0.8031,model,0,1019
2026-05-05 13:45:24,1,15,cosine,6.44e-05,0.5789,0.8201,0.8609,0.8175,model,0,1017
2026-05-05 14:02:24,1,16,cosine,5.87e-05,0.5667,0.8212,0.8303,0.8557,model,1,1019
2026-05-05 14:19:26,1,17,cosine,5.30e-05,0.5559,0.8189,0.8304,0.8186,ema,0,1020
2026-05-05 14:36:25,1,18,cosine,4.71e-05,0.5502,0.8266,0.8201,0.8301,ema,0,1018
2026-05-05 14:53:22,1,19,cosine,4.14e-05,0.5492,0.8320,0.8070,0.8394,ema,0,1017
2026-05-05 15:10:20,1,20,cosine,3.57e-05,0.5379,0.8256,0.8147,0.8279,ema,0,1017
2026-05-05 15:27:17,1,21,cosine,3.03e-05,0.5356,0.8255,0.8404,0.8279,ema,0,1017
2026-05-05 15:44:16,1,22,cosine,2.51e-05,0.5188,0.8357,0.8498,0.8343,model,0,1018
2026-05-05 16:01:15,1,23,cosine,2.02e-05,0.5312,0.8390,0.8628,0.8279,ema,0,1019
